Grouping,Company Name,Tech Day URL,Social Profiles URLs,Company Description,Company URL
Exhibitors,Hungry Text llc,https://techdayhq.com/companies/hungry-text-llc-11f87cd5-515f-4b11-91ee-4a66b0c38671,/community/startups/hungry-text-llc-11f87cd5-515f-4b11-91ee-4a66b0c38671,"Hungry Text’s new A.I. powered B2C ordering platform allows customers to send their orders by SPEECH, SMS, WEB CHAT, ALEXA, SKYPE, SLACK, GOOGLE ASSISTANT, FACEBOOK MESSENGER and many more directly into POS systems. We are looking for partners and team members to help us drive our mission. ",http://www.hungrytext.com/
Exhibitors,Cater2.me,https://techdayhq.com/companies/cater2-me,"https://www.facebook.com/C2meSF,http://twitter.com/@cater2me,https://www.linkedin.com/company/cater2-me,https://angel.co/cater2-me","Cater2.me creates custom meal programs by connecting you with the highest quality local food providers, from top chefs and restaurants to popular neighborhood food trucks. We enable these relationships through a mix of technology, committed customer service, curated quality and variety, and dead-simple ordering.",http://www.cater2.me
Exhibitors,Framery,https://techdayhq.com/companies/framery-6c7f005f-b87a-42fa-9cfa-7b4352c4c838,https://www.facebook.com/FrameryFinland,"Framery is a pioneer and leading company in manufacturing and developing soundproof private spaces – and the only company in the market solely focused on making them. We always put user experience first to turn efficiency up, and let people bloom. Our clients range from small offices to the world’s leading brands.",www.frameryacoustics.com
Exhibitors,x.ai,https://techdayhq.com/companies/x-ai-6d01b4d0-9ad6-4ba2-a5aa-a41df937c6ac,"https://www.facebook.com/xdotai,http://twitter.com/xdotai,https://www.linkedin.com/company/x-ai/,/community/startups/x-ai-6d01b4d0-9ad6-4ba2-a5aa-a41df937c6ac","AI scheduled meetings for smarter work days. Just CC our AI personal assistants (Amy and Andrew), and they’ll automatically schedule your meetings so you can focus on more meaningful work.",x.ai
Exhibitors,Movable Ink,https://techdayhq.com/companies/movable-ink-7dea29af-fa56-4c08-9de4-77b026fd68ce,"https://www.facebook.com/MovableInk/,http://twitter.com/https://twitter.com/movableink,https://www.linkedin.com/company/movable-ink,/community/startups/movable-ink-7dea29af-fa56-4c08-9de4-77b026fd68ce","
Movable Ink is one of the fastest growing technology companies  in New York City. We ranked in the 2017 Inc. 5000 as the 13th fastest growing, growth-stage company in the US.",https://movableink.com/
Exhibitors,Updater,https://techdayhq.com/companies/updater-4430a28d-cc7f-4163-ab94-2459be05f34c,"https://www.facebook.com/Updater/,http://twitter.com/Updater,https://www.linkedin.com/company/updater/,/community/startups/updater-4430a28d-cc7f-4163-ab94-2459be05f34c","Updater helps you organize and complete all your moving-related tasks in minutes. Forward mail, update accounts and records, transfer utilities, and much more - all in one place!",http://www.updater.com/
Exhibitors,Flatiron Health,https://techdayhq.com/companies/flatiron-health-ac48a4ba-543c-417d-b5b1-da5064b6617c,"www.facebook.com/flatironhealthny,http://twitter.com/www.twitter.com/flatironhealth,https://www.linkedin.com/company/2682361/,/community/startups/flatiron-health-ac48a4ba-543c-417d-b5b1-da5064b6617c","Flatiron Health is a healthcare technology and services company focused on accelerating cancer research and improving patient care. Our platform enables cancer researchers and care providers to learn from the experience of every patient. Currently, Flatiron partners with over 265 community cancer clinics, four major academic research centers and 13 out of the top 14 therapeutic oncology companies. Flatiron is backed by Google Ventures, First Round Capital, Roche and others. For more information, please visit www.flatiron.com or follow us @FlatironHealth.",www.flatiron.com
Exhibitors,OneRecord,https://techdayhq.com/companies/onerecord-61abf70d-6c7f-44f6-9f40-468f3cbafde1,"https://www.facebook.com/getonerecord,http://twitter.com/@onerecord,https://www.linkedin.com/onerecord","OneRecord is a patient-centric platform for seamlessly exchanging consented digital health data. OneRecord combines all of a patient’s medical records, lab results, immunizations, medications, and family history into one easily accessible and shareable record. Records are pulled in, de-duplicated, and aggregated so that patients have a single source of medical truth. OneRecord is built with standards and interoperability at the forefront so data can be consumed by any electronic health record system.",https://onerecord.com/
Exhibitors,PEX,https://techdayhq.com/companies/pex-3477d65d-96fd-4b45-8f97-97c9dd4f3f3c,"https://www.facebook.com/PEXCard/,http://twitter.com/https://twitter.com/PEXCard,https://www.linkedin.com/company/pex-card,/community/startups/pex-3477d65d-96fd-4b45-8f97-97c9dd4f3f3c","PEX, a New York fintech company founded in 2006, is a platform provider of next generation corporate card and expense management solutions for businesses. Businesses maintain control of their money by using the PEX Visa® Prepaid Card by issuing cards to employees, supplying funds, and limiting where staff can spend",https://www.pexcard.com/
Exhibitors,Beeline Legal,https://techdayhq.com/companies/beeline-legal-607e350a-9af3-4e58-afb1-9ab06b7590ac,"https://facebook.com/beelinelegal,http://twitter.com/BeelineLegalNYC,https:/www.linkedin.com/company/beeline-legal,/community/startups/beeline-legal-607e350a-9af3-4e58-afb1-9ab06b7590ac","Beeline provides trademark registration legal services through an attorney-authored online tool. Where other online services may leave gaps or even provide misinformation, Beeline was created to inform and equip you to protect the trademark you love. Beeline's friendly, engaging approach helps you understand what you need, what you'll get, and what's next without all the legal-speak. This easy-to-use site helps you take a straight path to your goals, and with four available service levels, you're sure to find a package that's right for you.",https://www.beelinelegal.com
